ID,item_cnt_month
0,0.6467861
1,0.35050622
2,1.3382633
3,0.5557243
4,3.2735975
5,0.6526208
6,0.45297614
7,0.1961798
8,1.0358853
9,0.50527334
10,2.4681525
11,0.0
12,0.17731094
13,0.42387605
14,1.7695996
15,2.32331
16,0.049960732
17,0.21398723
18,1.3333652
19,0.19788662
20,0.5333096
21,0.34715474
22,2.0058174
23,0.5415513
24,1.5160123
25,0.6802308
26,0.3429922
27,0.4023458
28,1.0086329
29,3.3777127
30,0.85896087
31,0.21865627
32,0.8063476
33,1.2106619
34,0.03883207
35,0.050871253
36,0.049316704
37,0.89483464
38,0.20108658
39,0.15993589
40,0.7963886
41,1.3109475
42,4.4332776
43,4.195592
44,1.0801194
45,0.1737932
46,1.0476432
47,0.48291224
48,0.6216949
49,0.97161615
50,1.0017511
51,0.58875215
52,0.5247302
53,0.5113189
54,5.3093233
55,3.2897646
56,2.0207586
57,1.9098505
58,5.6566277
59,3.0413747
60,5.11115
61,0.36320066
62,0.2962566
63,0.41128737
64,4.4411387
65,0.4464754
66,0.7217241
67,0.076404184
68,0.79842734
69,0.10974023
70,0.4464754
71,1.6868894
72,0.3086456
73,1.0643883
74,7.013246
75,6.349351
76,0.32368398
77,4.4411387
78,0.5703538
79,0.8984997
80,1.2393465
81,2.5070386
82,0.46612233
83,0.38061368
84,1.2712624
85,1.0645237
86,0.56353295
87,0.05154279
88,2.7113457
89,0.8003837
90,0.86042154
91,0.6495764
92,1.4949605
93,0.12184018
94,0.42854226
95,0.03228745
96,0.123496234
97,0.52950996
98,0.6128353
99,1.3372712
100,0.92927945
101,1.0140448
102,0.46368206
103,0.9694371
104,0.16448793
105,0.8750727
106,0.62961084
107,0.5605137
108,0.17941391
109,0.3010014
110,0.23630458
111,0.7250058
112,0.95055246
113,1.2143501
114,0.19338426
115,0.41809416
116,0.58164364
117,0.07198015
118,9.792097
119,0.14504361
120,0.12626114
121,0.1396713
122,0.401401
123,0.53360796
124,0.5384574
125,0.86053324
126,0.63785315
127,0.171541
128,0.43160638
129,0.23948458
130,0.37379688
131,0.03603515
132,1.0585215
133,3.2378488
134,0.11671442
135,2.635955
136,0.7037083
137,0.73470074
138,1.3500044
139,0.34429145
140,0.26535285
141,0.3330739
142,0.13115382
143,0.5442924
144,0.1687651
145,0.1687651
146,0.1687651
147,0.06356397
148,0.2605842
149,0.089224964
150,0.09348291
151,0.5841644
152,4.30022
153,0.26575342
154,0.071198404
155,0.18696699
156,0.18272966
157,0.21471876
158,0.06615904
159,0.25378
160,1.4470146
161,0.2077403
162,0.8940134
163,1.1559012
164,0.56186205
165,0.16008174
166,0.41479874
167,0.05053851
168,0.26688904
169,0.174333
170,0.2077403
171,0.5381447
172,0.101968974
173,2.7794046
174,1.490654
175,2.9086847
176,1.1975603
177,0.39214537
178,0.24763796
179,0.18857545
180,1.5122672
181,0.19056529
182,0.057021976
183,0.17833868
184,0.08627391
185,0.010859281
186,0.17340696
187,0.15369192
188,0.2605842
189,0.2605842
190,0.13661075
191,0.46162722
192,0.8192209
193,0.16172564
194,0.20138007
195,0.07644874
196,0.50185597
197,4.139614
198,1.3270525
199,3.4138663
200,0.0
201,3.4138663
202,0.082983166
203,1.0250826
204,0.24730027
205,0.3694024
206,0.0
207,0.07989308
208,1.3202739
209,0.32929906
210,0.13070741
211,0.08545482
212,0.056589812
213,0.28968567
214,0.121136606
215,0.14377981
216,0.2553298
217,0.16600353
218,1.313736
219,0.5137176
220,0.12578037
221,4.014182
222,4.031583
223,1.028828
224,2.0201726
225,0.15050775
226,0.6465148
227,0.13942072
228,0.16204086
229,0.29692894
230,6.540595
231,0.5741948
232,0.005475402
233,0.13369972
234,0.011369228
235,0.06456289
236,0.38213536
237,0.6334051
238,0.20646471
239,0.28031483
240,0.3758598
241,0.08348763
242,0.07586849
243,6.5085015
244,0.27049172
245,0.30623966
246,1.5656619
247,0.6640023
248,0.5253783
249,0.10066137
250,0.50935054
251,0.20812783
252,0.38690233
253,0.7370007
254,0.48778307
255,3.996818
256,0.37677056
257,0.2573034
258,0.5225416
259,0.17452294
260,0.019926965
261,0.13684589
262,0.26785943
263,0.0043729246
264,0.14790744
265,0.582728
266,0.048818707
267,0.19405356
268,0.3565058
269,0.22393018
270,1.222907
271,0.18898267
272,0.062339395
273,1.0432179
274,15.715796
275,0.13548139
276,0.19042137
277,1.3337264
278,0.34310448
279,0.5778594
280,0.19636214
281,0.09690717
282,0.08645034
283,0.48461032
284,0.352125
285,0.1760459
286,0.10011631
287,0.92721725
288,0.16640136
289,0.28775033
290,0.05602652
291,0.15279001
292,0.38813016
293,0.10223585
294,0.6405989
295,1.2788601
296,0.3973044
297,0.3145253
298,0.009562731
299,0.3766545
300,0.19196054
301,0.86451983
302,1.1663595
303,0.56031936
304,0.16325685
305,0.06998986
306,0.23824987
307,0.17552438
308,0.20566005
309,0.95433044
310,0.7800717
311,0.5596303
312,0.5188665
313,0.32467616
314,0.008816689
315,0.8403233
316,0.30561852
317,1.6860116
318,0.08589575
319,0.20419705
320,0.5601763
321,0.06388083
322,0.72219884
323,0.13520494
324,0.4799407
325,0.50359774
326,0.15323439
327,0.13238573
328,0.22607067
329,0.20842737
330,0.23165867
331,0.11664724
332,0.09814057
333,0.25484496
334,0.3467871
335,0.20000139
336,0.43967432
337,0.49358645
338,0.21420163
339,0.74371135
340,0.088748485
341,0.12993735
342,0.42040378
343,0.75614476
344,0.17759413
345,0.08341578
346,3.8717217
347,3.1698134
348,0.101822495
349,0.5006072
350,0.20200744
351,0.7304286
352,0.02902919
353,0.090221554
354,0.48893115
355,0.54180956
356,0.74337184
357,1.2532746
358,0.34611976
359,0.6379551
360,0.7745828
361,4.4577913
362,0.7559262
363,1.0236596
364,0.77632535
365,0.49473143
366,0.50004774
367,0.034347087
368,0.104846865
369,0.532262
370,0.21988669
371,1.9772335
372,0.93387175
373,0.5759757
374,1.4158591
375,1.8466272
376,0.68974185
377,0.2016654
378,0.42083442
379,0.2661311
380,2.608788
381,0.4182523
382,0.43866318
383,0.3245105
384,1.3592933
385,0.26663342
386,0.5584973
387,1.0109944
388,0.16335827
389,0.062018126
390,0.020680308
391,0.25837818
392,0.10671994
393,0.4532766
394,0.19749075
395,0.0019315183
396,1.8533453
397,1.3367743
398,0.16570929
399,0.22958711
400,0.62881535
401,0.27686596
402,3.226361
403,2.6117723
404,0.89003515
405,0.13594788
406,0.17738664
407,0.058366537
408,0.1980812
409,5.626767
410,0.29909256
411,1.2517109
412,0.13287607
413,0.5511137
414,0.10329947
415,3.8804452
416,2.4160948
417,5.626767
418,4.0885477
419,0.29909256
420,0.6268533
421,2.0859175
422,0.38931736
423,0.87181234
424,0.28859827
425,0.27371654
426,5.626767
427,0.76932305
428,1.1207001
429,0.34356093
430,1.0896668
431,0.7559211
432,0.06494668
433,0.14008588
434,0.09480092
435,1.0620235
436,0.052604377
437,0.6177113
438,0.36746162
439,0.3261292
440,0.20915374
441,0.14532647
442,0.32508063
443,0.19390705
444,0.351136
445,0.8504275
446,0.3710788
447,0.29473406
448,0.3543
449,0.57631016
450,0.279285
451,0.23793739
452,0.27551877
453,0.13691276
454,0.5685987
455,0.22783321
456,0.52451974
457,0.014710456
458,0.7146001
459,0.9842516
460,19.87255
461,0.71787894
462,0.45198202
463,0.334344
464,0.79448664
465,0.60210115
466,0.23433933
467,0.78482735
468,0.32010403
469,0.21559256
470,0.40866053
471,0.38222972
472,0.080943346
473,0.026897281
474,0.5967024
475,0.6497474
476,0.005967051
477,0.17182624
478,0.013471812
479,0.29459032
480,0.15912798
481,0.15912798
482,0.14762196
483,0.2582055
484,0.8958162
485,0.43245497
486,0.9664728
487,0.43263716
488,0.21443307
489,2.3232675
490,0.30381593
491,0.15912798
492,0.97306585
493,0.0
494,0.2359924
495,0.11121997
496,0.06833038
497,6.6327744
498,1.9394872
499,0.5587529
500,6.6327744
501,0.40444738
502,0.51447105
503,0.062487423
504,0.46010524
505,0.9375495
506,1.4314024
507,0.14437869
508,0.49659804
509,0.2916324
510,0.20159292
511,0.11138305
512,0.14881906
513,0.31079033
514,0.09472895
515,6.6327744
516,0.19897354
517,0.52584195
518,0.8598021
519,0.74062157
520,0.46346858
521,0.28504384
522,0.774843
523,0.23134288
524,0.14172974
525,0.8064003
526,0.23733303
527,0.18961346
528,0.0460189
529,0.06302309
530,0.87619114
531,0.38609877
532,0.15933323
533,0.084201455
534,0.012870342
535,0.06639069
536,5.626767
537,0.117798656
538,0.14286679
539,0.1745151
540,0.5847291
541,5.626767
542,0.016092956
543,0.11924553
544,0.13726318
545,0.09572899
